log_text,component,failure_mode,component_id,failure_mode_id
"spinle cant hold pressure, seems like electrical breaker failed,.",CNC Spindle,Power Failure,2,2
Maintenance log: bearign electrical fault.,Bearing Assembly,Power Failure,3,2
"oil everywhere near the spndl, suspect glitch in sensor.",CNC Spindle,Random Failure,2,4
"somthing grinding in the motor area area, check for cannot rotate, drive.",Motor Housing,Overstrain Failure,4,3
"oil everywhere near the motor housing, suspect dull blade /.",Motor Housing,Tool Wear Failure,4,0
"Standard check: ball bearings lost voltage, mains power failed during tool run during run.",Bearing Assembly,Power Failure,3,2
"vibrating way more than normal near the chuck motor, voltage drop under.",CNC Spindle,Power Failure,2,2
"Warning: tensioner belt unexplained behavior, machine stops randomly and smells weird.",Drive Belt,Random Failure,0,4
"leaking or snapped near the HPU unit, complete blackout in suspected.",Hydraulic Pump,Power Failure,1,2
thing near bearing housing controller board rebooted randomly during cycle.,Bearing Assembly,Random Failure,3,4
"somthing grinding in the belts area, check for cannot rotate, drive.",Drive Belt,Overstrain Failure,0,3
Maintenance log: hydraulic pump electrical fault.,Hydraulic Pump,Power Failure,1,2
"Operator reports: 'chuck motor unidentified glitch, controller went offline.'",CNC Spindle,Random Failure,2,4
"leaking or snapped near the hydraulic pump, blown power relay, suspected.",Hydraulic Pump,Power Failure,1,2
"keeps stopping every few minutes, poly-v belt is thermal overload tripped.",Drive Belt,Heat Dissipation Failure,0,1
Operator reports: 'tension pulley cant hold pressure.',Drive Belt,Overstrain Failure,0,3
"CRITICAL: fluid line jammed drive, motor immediately!",Hydraulic Pump,Overstrain Failure,1,3
"vibrating way more than normal near the hydraulics block, tool worn down.",Hydraulic Pump,Tool Wear Failure,1,0
"Warning: housign unexplained behavior, machine stops randomly and smells weird.",Motor Housing,Random Failure,4,4
Inspection reveals that the cnc head worn out.,CNC Spindle,Tool Wear Failure,2,0
"the ploy-v blt is experiencing severe pitting, tool wear min reading is at maximum again. please check.",Drive Belt,Tool Wear Failure,0,0
"vibrating way more than normal near the casing, temp is way.",Motor Housing,Heat Dissipation Failure,4,1
"spindle motor cant hold pressure, seems like tool wear min.",CNC Spindle,Tool Wear Failure,2,0
"Standard check: hpu is overheating rapidly, thermal camera shows 95C during run.",Hydraulic Pump,Heat Dissipation Failure,1,1
the chuck is stalled again. please check.,CNC Spindle,Overstrain Failure,2,3
thing near tool head controller board rebooted randomly during cycle.,CNC Spindle,Random Failure,2,4
Operator reports: 'tension pulley slipping and worn.',Drive Belt,Tool Wear Failure,0,0
"Inspection reveals that the motor housing lost power completely, voltage dropped to zero.",Motor Housing,Power Failure,4,2
"belts assembly making wierd noise, feels like thermal paste dry,.",Drive Belt,Heat Dissipation Failure,0,1
"keeps stopping every few minutes, poly-v belt is dull cutting tool,.",Drive Belt,Tool Wear Failure,0,0
"Operator reports: 'chuck motor electrical fault, voltage supply lines went dead.'",CNC Spindle,Power Failure,2,2
CRITICAL: tensioner blown fuse in immediately!,Drive Belt,Power Failure,0,2
CRITICAL: fluid line dull blade / immediately!,Hydraulic Pump,Tool Wear Failure,1,0
"Standard check: shaft bearing is overheating rapidly, thermal camera shows 95C during run.",Bearing Assembly,Heat Dissipation Failure,3,1
"leaking or snapped near the bearings area, casing temp too suspected.",Bearing Assembly,Heat Dissipation Failure,3,1
operator says assembly bearings friction overload today.,Bearing Assembly,Overstrain Failure,3,3
"Warning: housign heating up fast, temperature is at critical 105C and smells weird.",Motor Housing,Heat Dissipation Failure,4,1
"Standard check: spndl stuck and seized up, overstrain torque limit exceeded during run.",CNC Spindle,Overstrain Failure,2,3
"oil everywhere near the bearing kit, suspect jammed drive, motor.",Bearing Assembly,Overstrain Failure,3,3
"belts assembly cant hold pressure, seems like lost voltage, mains.",Drive Belt,Power Failure,0,2
"operator says conveyor blt unexplained sensor fault, error code ERR-502 today.",Drive Belt,Random Failure,0,4
"Standard check: spndl tool wear ratio exceeded limits, tool is extremely dull during run.",CNC Spindle,Tool Wear Failure,2,0
"CRITICAL: spindle head intermittent connection issue, immediately!",CNC Spindle,Random Failure,2,4
"Warning: bearign sudden voltage drop, machine stopped mid-cycle and smells weird.",Bearing Assembly,Power Failure,3,2
CRITICAL: poly-v belt abnormal heat immediately!,Drive Belt,Heat Dissipation Failure,0,1
"The pump random glitch, machine rebooted spontaneously. Operations are affected, check ASAP.",Hydraulic Pump,Random Failure,1,4
CRITICAL: housign is completely worn immediately!,Motor Housing,Tool Wear Failure,4,0
Inspection reveals that the conveyor belt worn out.,Drive Belt,Tool Wear Failure,0,0
"Standard check: v-belt stuck and seized up, overstrain torque limit exceeded during run.",Drive Belt,Overstrain Failure,0,3
"Standard check: v-belt is overheating rapidly, thermal camera shows 95C during run.",Drive Belt,Heat Dissipation Failure,0,1
"The housing tool wear ratio exceeded limits, tool is extremely dull. Operations are affected, check ASAP.",Motor Housing,Tool Wear Failure,4,0
operator says blt tool is warn out completely today.,Drive Belt,Tool Wear Failure,0,0
"thing near back casing mains power failure, backup generator running.",Motor Housing,Power Failure,4,2
"its hot and shaking alot near the bearing assembly, check for electrical fault, voltage.",Bearing Assembly,Power Failure,3,2
"ball bearings making wierd noise, feels like wear value too.",Bearing Assembly,Tool Wear Failure,3,0
spndl stalled under heavy.,CNC Spindle,Overstrain Failure,2,3
CRITICAL: poly-v belt is completely seized immediately!,Drive Belt,Overstrain Failure,0,3
"its hot and shaking alot near the hydraulics, check for stuck due to.",Hydraulic Pump,Overstrain Failure,1,3
the chuck is fuse popped again. please check.,CNC Spindle,Power Failure,2,2
"spndl random shutdown, no.",CNC Spindle,Random Failure,2,4
"weird smell from the belt unit, possibly tool wear value.",Drive Belt,Tool Wear Failure,0,0
"CRITICAL: bearings area intermittent connection issue, immediately!",Bearing Assembly,Random Failure,3,4
"Standard check: spndl power failure, electrical breaker tripped in the cabinet during run.",CNC Spindle,Power Failure,2,2
"Maintenance log: HPU unit torque reading exceeded 85 Nm, mechanical jam detected.",Hydraulic Pump,Overstrain Failure,1,3
"somthing grinding in the bearing area, check for tool wear is.",Bearing Assembly,Tool Wear Failure,3,0
"its hot and shaking alot near the cnc head, check for heating up fast,.",CNC Spindle,Heat Dissipation Failure,2,1
"keeps stopping every few minutes, bearings is severe overheating, ventilation.",Bearing Assembly,Heat Dissipation Failure,3,1
operator says assembly bearings stops randomly today.,Bearing Assembly,Random Failure,3,4
"weird smell from the spindle unit, possibly stalled under torque.",CNC Spindle,Overstrain Failure,2,3
"weird smell from the spindle unit, possibly unit running extremely.",CNC Spindle,Heat Dissipation Failure,2,1
"housing unit making wierd noise, feels like thermal paste dry,.",Motor Housing,Heat Dissipation Failure,4,1
"oil everywhere near the v-belt, suspect ventilation shaft blocked,.",Drive Belt,Heat Dissipation Failure,0,1
"somthing grinding in the HPU unit area, check for thermal runaway warning,.",Hydraulic Pump,Heat Dissipation Failure,1,1
"its hot and shaking alot near the drive belt, check for torque overload, mechanical.",Drive Belt,Overstrain Failure,0,3
"oil everywhere near the pump unit, suspect unexplained sensor fault,.",Hydraulic Pump,Random Failure,1,4
Maintenance log: casing blade is dull.,Motor Housing,Tool Wear Failure,4,0
"thing near hydraulic line temperature spike detected, cooling fan seems broken.",Hydraulic Pump,Heat Dissipation Failure,1,1
"spndl no power supply,.",CNC Spindle,Power Failure,2,2
"somthing grinding in the motor housing area, check for seized shaft, gears.",Motor Housing,Overstrain Failure,4,3
"The bearing tool wear ratio exceeded limits, tool is extremely dull. Operations are affected, check ASAP.",Bearing Assembly,Tool Wear Failure,3,0
"weird smell from the pump unit, possibly unit running extremely.",Hydraulic Pump,Heat Dissipation Failure,1,1
"Operator reports: 'hydrualic pump electrical fault, voltage supply lines went dead.'",Hydraulic Pump,Power Failure,1,2
conveyor stopped.,Drive Belt,Random Failure,0,4
"oil everywhere near the housign, suspect fuse pop, power.",Motor Housing,Power Failure,4,2
CRITICAL: spindle head blown fuse in immediately!,CNC Spindle,Power Failure,2,2
"spinle cant hold pressure, seems like unexplained shutdown during.",CNC Spindle,Random Failure,2,4
"Maintenance log: HPU unit random trip, control interface lost connection.",Hydraulic Pump,Random Failure,1,4
"leaking or snapped near the drive belt, high tool wear suspected.",Drive Belt,Tool Wear Failure,0,0
"leaking or snapped near the HPU unit, random emergency loop suspected.",Hydraulic Pump,Random Failure,1,4
"bearign cant hold pressure, seems like lost voltage, mains.",Bearing Assembly,Power Failure,3,2
"Inspection reveals that the motor housing is completely seized and jammed, motor stalled under load.",Motor Housing,Overstrain Failure,4,3
"leaking or snapped near the drive belt, blown power relay, suspected.",Drive Belt,Power Failure,0,2
Maintenance log: outer shell severe tool wear detected on inspection.,Motor Housing,Tool Wear Failure,4,0
"leaking or snapped near the bearings area, complete blackout in suspected.",Bearing Assembly,Power Failure,3,2
"Standard check: chuck lost voltage, mains power failed during tool run during run.",CNC Spindle,Power Failure,2,2
"The belt temperature spike detected, cooling fan seems broken. Operations are affected, check ASAP.",Drive Belt,Heat Dissipation Failure,0,1
Inspection reveals that the ball bearings worn out.,Bearing Assembly,Tool Wear Failure,3,0
Standard check: housing shield shut down with unexplained error code ERR-404 during run.,Motor Housing,Random Failure,4,4
Operator reports: 'spindle casing cant hold pressure.',CNC Spindle,Overstrain Failure,2,3
"its hot and shaking alot near the hydraulics, check for heating up fast,.",Hydraulic Pump,Heat Dissipation Failure,1,1
"keeps stopping every few minutes, poly-v belt is unidentified fault, machine.",Drive Belt,Random Failure,0,4
"motor casing thermal runaway warning,.",Motor Housing,Heat Dissipation Failure,4,1
"thing near spinle is jammed, high torque reading triggered emergency stop.",CNC Spindle,Overstrain Failure,2,3
"vibrating way more than normal near the driv belt, temp sensor reading.",Drive Belt,Heat Dissipation Failure,0,1
"oil everywhere near the assembly bearings, suspect mechanical jam, torque.",Bearing Assembly,Overstrain Failure,3,3
CRITICAL: hydraulic unit is completely seized immediately!,Hydraulic Pump,Overstrain Failure,1,3
"Standard check: chuck glitchy controls, random error triggered safety loop during run.",CNC Spindle,Random Failure,2,4
the bearign assembly is stalled again. please check.,Bearing Assembly,Overstrain Failure,3,3
"oil everywhere near the motor housing, suspect jammed drive, motor.",Motor Housing,Overstrain Failure,4,3
pump unit too hot to.,Hydraulic Pump,Heat Dissipation Failure,1,1
"operator says cnc head tempurature is at 98 degrees C, thermal sensor aelrt today.",CNC Spindle,Heat Dissipation Failure,2,1
"keeps stopping every few minutes, housing unit is random trip, control.",Motor Housing,Random Failure,4,4
"leaking or snapped near the bearing block, controller board rebooted suspected.",Bearing Assembly,Random Failure,3,4
Maintenance log: casing electrical fault.,Motor Housing,Power Failure,4,2
the hydarulics area is dull again. please check.,Hydraulic Pump,Tool Wear Failure,1,0
"housing cant hold pressure, seems like intermittent connection issue,.",Motor Housing,Random Failure,4,4
"weird smell from the bearing unit, possibly torque reading exceeded.",Bearing Assembly,Overstrain Failure,3,3
"somthing grinding in the bearing housing area, check for tool is dull.",Bearing Assembly,Tool Wear Failure,3,0
"Operator reports: 'hydrualic pump smoke coming from unit, cooling failed.'",Hydraulic Pump,Heat Dissipation Failure,1,1
"operator says casing siheld tempurature is at 98 degrees C, tehrmal sensor alert today.",Motor Housing,Heat Dissipation Failure,4,1
Maintenance log: bearign blade is dull.,Bearing Assembly,Tool Wear Failure,3,0
Warning: spindle motor leaking and smells weird.,CNC Spindle,Random Failure,2,4
"the spinle unit is fuse blown, voltage surge detected on line again. please check.",CNC Spindle,Power Failure,2,2
"oil everywhere near the conveyor, suspect unexplained sensor fault,.",Drive Belt,Random Failure,0,4
"belts assembly cant hold pressure, seems like severe mechanical stress,.",Drive Belt,Overstrain Failure,0,3
"housing unit making wierd noise, feels like stalled motor, torque.",Motor Housing,Overstrain Failure,4,3
"The tensioner wierd noise. Operations are affected, check ASAP.",Drive Belt,Random Failure,0,4
"its hot and shaking alot near the housing, check for worn tool causing.",Motor Housing,Tool Wear Failure,4,0
"The spindle random glitch, machine rebooted spontaneously. Operations are affected, check ASAP.",CNC Spindle,Random Failure,2,4
"Maintenance log: spindle assembly breaker tripped, power failure warning on control panel.",CNC Spindle,Power Failure,2,2
"oil everywhere near the pump unit, suspect dull blade /.",Hydraulic Pump,Tool Wear Failure,1,0
"spindle motor making wierd noise, feels like thermal paste dry,.",CNC Spindle,Heat Dissipation Failure,2,1
"oil everywhere near the motor housing, suspect temperature is at.",Motor Housing,Heat Dissipation Failure,4,1
conveyor rough finish.,Drive Belt,Tool Wear Failure,0,0
Operator reports: 'housing hot and shaking.',Motor Housing,Heat Dissipation Failure,4,1
"Standard check: housing shield stuck and seized up, overstrain torque limit exceeded during run.",Motor Housing,Overstrain Failure,4,3
"keeps stopping every few minutes, hydraulics area is tool wear min.",Hydraulic Pump,Tool Wear Failure,1,0
"casing shield making wierd noise, feels like intermittent communication loss,.",Motor Housing,Random Failure,4,4
"housing cant hold pressure, seems like tool wear min.",Motor Housing,Tool Wear Failure,4,0
"operator says cnc head unexplained sensor falut, error code ERR5-02 today.",CNC Spindle,Random Failure,2,4
operator says motor casing smoking slightly today.,Motor Housing,Heat Dissipation Failure,4,1
"oil everywhere near the housign, suspect mechanical jam, torque.",Motor Housing,Overstrain Failure,4,3
housing unit rough finish.,Motor Housing,Tool Wear Failure,4,0
CRITICAL: bearing block glitchy connection immediately!,Bearing Assembly,Random Failure,3,4
"bearing assembly making wierd noise, feels like thermal paste dry,.",Bearing Assembly,Heat Dissipation Failure,3,1
"operator says cnc head stalled mid-operation, high friction toqrue overload today.",CNC Spindle,Overstrain Failure,2,3
"weird smell from the belt unit, possibly random error, control.",Drive Belt,Random Failure,0,4
"ball bearings making wierd noise, feels like stalled under heavy.",Bearing Assembly,Overstrain Failure,3,3
operator says motor casing breaker trips today.,Motor Housing,Power Failure,4,2
"hydraulic line cant hold pressure, seems like smells like burning.",Hydraulic Pump,Heat Dissipation Failure,1,1
"Standard check: hpu tool wear ratio exceeded limits, tool is extremely dull during run.",Hydraulic Pump,Tool Wear Failure,1,0
operator says spinle fritcion overload today.,CNC Spindle,Overstrain Failure,2,3
Operator reports: 'hydraulics block cant hold pressure.',Hydraulic Pump,Overstrain Failure,1,3
"oil everywhere near the bearing kit, suspect dull blade /.",Bearing Assembly,Tool Wear Failure,3,0
"tensioner belt cant hold pressure, seems like unexplained shutdown during.",Drive Belt,Random Failure,0,4
"spindle motor cant hold pressure, seems like severe mechanical stress,.",CNC Spindle,Overstrain Failure,2,3
"somthing grinding in the belts area, check for tool is dull.",Drive Belt,Tool Wear Failure,0,0
"pressure gauge making wierd noise, feels like thermal paste dry,.",Hydraulic Pump,Heat Dissipation Failure,1,1
"Operator reports: 'driv belt warn out tool, wear min is at critical levels.'",Drive Belt,Tool Wear Failure,0,0
conveyor too hot to.,Drive Belt,Heat Dissipation Failure,0,1
CRITICAL: poly-v belt is completely worn immediately!,Drive Belt,Tool Wear Failure,0,0
"leaking or snapped near the spindle assembly, casing temp too suspected.",CNC Spindle,Heat Dissipation Failure,2,1
"thing near tensioner belt is jammed, high torque reading triggered emergency stop.",Drive Belt,Overstrain Failure,0,3
"vibrating way more than normal near the hydrualic pump, voltage drop under.",Hydraulic Pump,Power Failure,1,2
"CRITICAL: housign lost power completely, immediately!",Motor Housing,Power Failure,4,2
"pressure gauge cant hold pressure, seems like tool wear min.",Hydraulic Pump,Tool Wear Failure,1,0
"hpu no power supply,.",Hydraulic Pump,Power Failure,1,2
"spindle motor making wierd noise, feels like stalled motor, torque.",CNC Spindle,Overstrain Failure,2,3
"hydrualic pump making wierd noise, feels like no power supply,.",Hydraulic Pump,Power Failure,1,2
"Maintenance log: spindle assembly severe overheating, ventilation duct is blocked.",CNC Spindle,Heat Dissipation Failure,2,1
"its hot and shaking alot near the hydraulic pump, check for breaker trips instantly.",Hydraulic Pump,Power Failure,1,2
"leaking or snapped near the belts, worn tool bit, suspected.",Drive Belt,Tool Wear Failure,0,0
"Standard check: hydraulics area glitchy controls, random error triggered safety loop during run.",Hydraulic Pump,Random Failure,1,4
the chuck is keeps stopping again. please check.,CNC Spindle,Random Failure,2,4
"Standard check: belt area temp is way too hot, casing is smoking during run.",Drive Belt,Heat Dissipation Failure,0,1
"operator says shaft bearign tool wear min is maxed out, ctuting surafce is damaged today.",Bearing Assembly,Tool Wear Failure,3,0
Maintenance log: hydraulic pump grinding noise.,Hydraulic Pump,Overstrain Failure,1,3
"keeps stopping every few minutes, belt area is stalled mid-operation, high.",Drive Belt,Overstrain Failure,0,3
"CRITICAL: fluid line intermittent connection issue, immediately!",Hydraulic Pump,Random Failure,1,4
Inspection reveals that the cnc head seized up.,CNC Spindle,Overstrain Failure,2,3
Warning: pressure gauge power out and smells weird.,Hydraulic Pump,Power Failure,1,2
"motor casing no power supply,.",Motor Housing,Power Failure,4,2
Maintenance log: drive belt weird noise.,Drive Belt,Random Failure,0,4
Operator reports: 'tension pulley lost power.',Drive Belt,Power Failure,0,2
"thing near hydraulic line fuse blown, voltage surge detected on line.",Hydraulic Pump,Power Failure,1,2
Warning: pressure gauge thermal overload and smells weird.,Hydraulic Pump,Heat Dissipation Failure,1,1
"weird smell from the fluid line unit, possibly torque reading exceeded.",Hydraulic Pump,Overstrain Failure,1,3
"pressure gauge cant hold pressure, seems like intermittent connection issue,.",Hydraulic Pump,Random Failure,1,4
"Maintenance log: belts breaker tripped, power failure warning on control panel.",Drive Belt,Power Failure,0,2
"The housing temperature spike detected, cooling fan seems broken. Operations are affected, check ASAP.",Motor Housing,Heat Dissipation Failure,4,1
"its hot and shaking alot near the hydraulic pump, check for temperature spiked to.",Hydraulic Pump,Heat Dissipation Failure,1,1
"weird smell from the back casing unit, possibly severe tool wear.",Motor Housing,Tool Wear Failure,4,0
"the spinle unit is is jammed, high torque reading triggered emergency stop again. please check.",CNC Spindle,Overstrain Failure,2,3
"CRITICAL: spindle head overheating alert, cooling immediately!",CNC Spindle,Heat Dissipation Failure,2,1
"leaking or snapped near the motor casing, high tool wear suspected.",Motor Housing,Tool Wear Failure,4,0
"thing near back casing tool worn down to the nub, replace now.",Motor Housing,Tool Wear Failure,4,0
"Inspection reveals that the CNC spindle is overheating rapidly, thermal camera shows 95C.",CNC Spindle,Heat Dissipation Failure,2,1
"oil everywhere near the tool head, suspect blown fuse in.",CNC Spindle,Power Failure,2,2
Inspection reveals that the conveyor belt seized up.,Drive Belt,Overstrain Failure,0,3
"Warning: hydraulic line tool is dull and worn, needs replacement immediately and smells weird.",Hydraulic Pump,Tool Wear Failure,1,0
"oil everywhere near the assembly bearings, suspect excessive wear on.",Bearing Assembly,Tool Wear Failure,3,0
